code_commune,nom_commune,LIBDENS7,predicted_cluster,predicted_name,proba_cluster_0,proba_cluster_1,proba_cluster_2,proba_cluster_3,extrapolated
01001,L'Abergement-Clémenciat,Rural à habitat dispersé,2,Tourisme rural,0.0172,0.0142,0.6552,0.3134,1
01002,L'Abergement-de-Varey,Rural à habitat dispersé,2,Tourisme rural,0.034,0.0075,0.6732,0.2853,1
01004,Ambérieu-en-Bugey,Centres urbains intermédiaires,0,Peri-urbain loisirs,0.3041,0.1866,0.2821,0.2272,1
01005,Ambérieux-en-Dombes,Bourgs ruraux,2,Tourisme rural,0.0709,0.0288,0.6256,0.2748,1
01006,Ambléon,Rural à habitat dispersé,2,Tourisme rural,0.0687,0.0108,0.6189,0.3016,1
01007,Ambronay,Rural à habitat dispersé,2,Tourisme rural,0.0433,0.0124,0.7891,0.1552,1
01008,Ambutrix,Ceintures urbaines,2,Tourisme rural,0.107,0.0309,0.6613,0.2007,1
01009,Andert-et-Condon,Rural à habitat dispersé,2,Tourisme rural,0.0173,0.0068,0.7842,0.1917,1
01010,Anglefort,Bourgs ruraux,2,Tourisme rural,0.1581,0.0288,0.6651,0.1479,1
01011,Apremont,Rural à habitat dispersé,2,Tourisme rural,0.043,0.0072,0.6476,0.3022,1
01012,Aranc,Rural à habitat dispersé,2,Tourisme rural,0.0488,0.008,0.6279,0.3153,1
01013,Arandas,Rural à habitat très dispersé,2,Tourisme rural,0.0546,0.0088,0.6462,0.2904,1
01014,Arbent,Ceintures urbaines,2,Tourisme rural,0.1886,0.034,0.5294,0.2479,1
01015,Arboys en Bugey,Rural à habitat dispersé,2,Tourisme rural,0.0223,0.0077,0.7995,0.1705,1
01016,Arbigny,Rural à habitat dispersé,2,Tourisme rural,0.0136,0.016,0.6898,0.2806,1
01017,Argis,Rural à habitat dispersé,2,Tourisme rural,0.0403,0.0122,0.7785,0.169,1
01019,Armix,Rural à habitat très dispersé,2,Tourisme rural,0.0793,0.0146,0.6725,0.2336,1
01021,Ars-sur-Formans,Bourgs ruraux,2,Tourisme rural,0.1372,0.0383,0.4191,0.4054,1
01022,Artemare,Bourgs ruraux,2,Tourisme rural,0.0806,0.0341,0.6437,0.2417,1
01023,Asnières-sur-Saône,Rural à habitat dispersé,2,Tourisme rural,0.0263,0.0172,0.5412,0.4154,1
01024,Attignat,Bourgs ruraux,3,Tourisme litoral,0.0774,0.0324,0.4233,0.4669,1
01025,Bâgé-Dommartin,Rural à habitat dispersé,2,Tourisme rural,0.0387,0.0246,0.5364,0.4003,1
01026,Bâgé-le-Châtel,Bourgs ruraux,3,Tourisme litoral,0.2804,0.1943,0.1797,0.3456,1
01027,Balan,Bourgs ruraux,2,Tourisme rural,0.0944,0.0277,0.5625,0.3153,1
01028,Baneins,Rural à habitat dispersé,2,Tourisme rural,0.016,0.0129,0.6501,0.321,1
01029,Beaupont,Rural à habitat dispersé,2,Tourisme rural,0.0189,0.0168,0.5527,0.4115,1
01030,Beauregard,Ceintures urbaines,3,Tourisme litoral,0.2262,0.1731,0.2166,0.3842,1
01031,Bellignat,Centres urbains intermédiaires,2,Tourisme rural,0.2645,0.0734,0.3912,0.2709,1
01032,Béligneux,Bourgs ruraux,3,Tourisme litoral,0.1316,0.0401,0.4042,0.4241,1
01033,Valserhône,Centres urbains intermédiaires,2,Tourisme rural,0.2445,0.0664,0.4846,0.2044,1
01034,Belley,Petites villes,2,Tourisme rural,0.1424,0.0402,0.6102,0.2072,0
01035,Belleydoux,Rural à habitat dispersé,2,Tourisme rural,0.0484,0.0089,0.5941,0.3486,1
01036,Valromey-sur-Séran,Rural à habitat dispersé,2,Tourisme rural,0.0982,0.0151,0.5779,0.3088,1
01037,Bénonces,Rural à habitat dispersé,2,Tourisme rural,0.1066,0.0175,0.6939,0.182,1
01038,Bény,Rural à habitat dispersé,2,Tourisme rural,0.0199,0.0186,0.589,0.3725,1
01040,Béréziat,Rural à habitat dispersé,2,Tourisme rural,0.0235,0.0184,0.567,0.3911,1
01041,Bettant,Ceintures urbaines,2,Tourisme rural,0.1745,0.0417,0.5405,0.2432,1
01042,Bey,Rural à habitat dispersé,2,Tourisme rural,0.0235,0.0213,0.7309,0.2244,1
01043,Beynost,Centres urbains intermédiaires,2,Tourisme rural,0.2231,0.0755,0.4097,0.2917,1
01044,Billiat,Rural à habitat dispersé,2,Tourisme rural,0.104,0.0224,0.6687,0.205,1
01045,Birieux,Rural à habitat dispersé,2,Tourisme rural,0.0228,0.0144,0.6016,0.3612,1
01046,Biziat,Rural à habitat dispersé,2,Tourisme rural,0.0215,0.019,0.593,0.3665,1
01047,Blyes,Rural à habitat dispersé,3,Tourisme litoral,0.0494,0.023,0.4564,0.4712,1
01049,La Boisse,Ceintures urbaines,2,Tourisme rural,0.2539,0.074,0.377,0.295,1
01050,Boissey,Rural à habitat dispersé,2,Tourisme rural,0.024,0.0178,0.5759,0.3822,1
01051,Bolozon,Rural à habitat très dispersé,2,Tourisme rural,0.0233,0.0105,0.8555,0.1107,1
01052,Bouligneux,Rural à habitat très dispersé,2,Tourisme rural,0.0267,0.0165,0.6494,0.3074,1
01053,Bourg-en-Bresse,Centres urbains intermédiaires,0,Peri-urbain loisirs,0.3736,0.1913,0.253,0.182,1
01054,Bourg-Saint-Christophe,Bourgs ruraux,2,Tourisme rural,0.0574,0.0249,0.5507,0.367,1
01056,Boyeux-Saint-Jérôme,Rural à habitat dispersé,2,Tourisme rural,0.0397,0.0069,0.6747,0.2787,1
01057,Boz,Rural à habitat dispersé,2,Tourisme rural,0.0125,0.0158,0.7743,0.1974,1
01058,Brégnier-Cordon,Rural à habitat dispersé,2,Tourisme rural,0.0108,0.0133,0.908,0.0679,1
01060,Brénod,Rural à habitat dispersé,2,Tourisme rural,0.0523,0.0096,0.6142,0.3239,1
01061,Brens,Rural à habitat dispersé,2,Tourisme rural,0.0223,0.0214,0.8555,0.1008,1
01062,Bressolles,Ceintures urbaines,2,Tourisme rural,0.094,0.0271,0.6224,0.2565,1
01063,Brion,Petites villes,2,Tourisme rural,0.0799,0.0201,0.6271,0.273,1
01064,Briord,Rural à habitat dispersé,2,Tourisme rural,0.0186,0.011,0.9039,0.0665,1
01065,Buellas,Bourgs ruraux,2,Tourisme rural,0.0565,0.0251,0.6908,0.2277,1
01066,La Burbanche,Rural à habitat très dispersé,2,Tourisme rural,0.0561,0.0093,0.5997,0.3349,1
01067,Ceignes,Rural à habitat dispersé,2,Tourisme rural,0.0423,0.0072,0.6465,0.304,1
01068,Cerdon,Rural à habitat dispersé,2,Tourisme rural,0.0704,0.0116,0.6534,0.2646,1
01069,Certines,Bourgs ruraux,2,Tourisme rural,0.0337,0.0257,0.705,0.2356,1
01071,Cessy,Ceintures urbaines,0,Peri-urbain loisirs,0.2837,0.2568,0.2227,0.2369,1
01072,Ceyzériat,Bourgs ruraux,2,Tourisme rural,0.1975,0.0454,0.5126,0.2445,1
01073,Ceyzérieu,Rural à habitat dispersé,2,Tourisme rural,0.0147,0.0073,0.8616,0.1164,1
01074,Chalamont,Bourgs ruraux,2,Tourisme rural,0.0374,0.021,0.5973,0.3443,1
01075,Chaleins,Bourgs ruraux,2,Tourisme rural,0.0296,0.0194,0.6007,0.3503,1
01076,Chaley,Rural à habitat dispersé,2,Tourisme rural,0.0493,0.0177,0.8241,0.1089,1
01077,Challes-la-Montagne,Rural à habitat dispersé,2,Tourisme rural,0.0397,0.0069,0.6414,0.312,1
01078,Challex,Petites villes,2,Tourisme rural,0.1216,0.0255,0.5711,0.2818,1
01079,Champagne-en-Valromey,Rural à habitat dispersé,2,Tourisme rural,0.0477,0.0086,0.7061,0.2376,1
01080,Champdor-Corcelles,Rural à habitat dispersé,2,Tourisme rural,0.0488,0.008,0.61,0.3332,1
01081,Champfromier,Rural à habitat dispersé,2,Tourisme rural,0.0833,0.0149,0.5834,0.3184,1
01082,Chanay,Rural à habitat dispersé,2,Tourisme rural,0.0981,0.017,0.6038,0.281,1
01083,Chaneins,Rural à habitat dispersé,2,Tourisme rural,0.0212,0.0173,0.6771,0.2845,1
01084,Chanoz-Châtenay,Rural à habitat dispersé,2,Tourisme rural,0.012,0.0169,0.8148,0.1563,1
01085,La Chapelle-du-Châtelard,Rural à habitat dispersé,2,Tourisme rural,0.013,0.0235,0.8177,0.1458,1
01087,Charix,Rural à habitat dispersé,2,Tourisme rural,0.0424,0.0064,0.6245,0.3266,1
01088,Charnoz-sur-Ain,Bourgs ruraux,2,Tourisme rural,0.0482,0.0256,0.4906,0.4357,1
01089,Château-Gaillard,Bourgs ruraux,2,Tourisme rural,0.0761,0.0262,0.6477,0.25,1
01090,Châtenay,Rural à habitat dispersé,2,Tourisme rural,0.0216,0.0138,0.6156,0.349,1
01092,Châtillon-la-Palud,Bourgs ruraux,2,Tourisme rural,0.0527,0.0174,0.7478,0.1821,1
01093,Châtillon-sur-Chalaronne,Bourgs ruraux,2,Tourisme rural,0.1528,0.0515,0.4154,0.3803,1
01094,Chavannes-sur-Reyssouze,Rural à habitat dispersé,2,Tourisme rural,0.0153,0.0136,0.6743,0.2968,1
01095,Nivigne et Suran,Rural à habitat dispersé,2,Tourisme rural,0.029,0.0098,0.7665,0.1947,1
01096,Chaveyriat,Rural à habitat dispersé,2,Tourisme rural,0.0095,0.0149,0.8071,0.1685,1
01098,Chazey-Bons,Rural à habitat dispersé,2,Tourisme rural,0.0265,0.0115,0.7007,0.2613,1
01099,Chazey-sur-Ain,Rural à habitat dispersé,2,Tourisme rural,0.0275,0.0204,0.6052,0.3469,1
01100,Cheignieu-la-Balme,Rural à habitat dispersé,2,Tourisme rural,0.0863,0.0234,0.6879,0.2024,1
01101,Chevillard,Rural à habitat dispersé,2,Tourisme rural,0.044,0.0071,0.6485,0.3004,1
01102,Chevroux,Rural à habitat dispersé,2,Tourisme rural,0.0274,0.02,0.5958,0.3569,1
01103,Chevry,Ceintures urbaines,2,Tourisme rural,0.2754,0.0702,0.4696,0.1847,1
01104,Chézery-Forens,Rural à habitat dispersé,2,Tourisme rural,0.0842,0.0152,0.5345,0.3661,1
01105,Civrieux,Bourgs ruraux,2,Tourisme rural,0.0489,0.0211,0.6959,0.2342,1
01106,Cize,Rural à habitat dispersé,2,Tourisme rural,0.0095,0.0067,0.9165,0.0672,1
01107,Cleyzieu,Rural à habitat dispersé,2,Tourisme rural,0.0497,0.0081,0.708,0.2341,1
01108,Coligny,Rural à habitat dispersé,2,Tourisme rural,0.0239,0.0093,0.7226,0.2442,1
01109,Collonges,Bourgs ruraux,2,Tourisme rural,0.1677,0.0318,0.5322,0.2683,1
01110,Colomieu,Rural à habitat dispersé,2,Tourisme rural,0.0196,0.0059,0.7206,0.2539,1
01111,Conand,Rural à habitat très dispersé,2,Tourisme rural,0.0857,0.014,0.5816,0.3187,1
01112,Condamine,Rural à habitat dispersé,2,Tourisme rural,0.0559,0.0109,0.6209,0.3123,1
01113,Condeissiat,Rural à habitat dispersé,2,Tourisme rural,0.0162,0.0215,0.8361,0.1262,1
01114,Confort,Rural à habitat dispersé,2,Tourisme rural,0.1167,0.0227,0.6841,0.1766,1
01115,Confrançon,Rural à habitat dispersé,2,Tourisme rural,0.0268,0.0216,0.5477,0.4038,1
01116,Contrevoz,Rural à habitat dispersé,2,Tourisme rural,0.0811,0.015,0.6406,0.2633,1
01117,Conzieu,Rural à habitat dispersé,2,Tourisme rural,0.0417,0.0094,0.7242,0.2246,1
01118,Corbonod,Rural à habitat dispersé,2,Tourisme rural,0.1258,0.0235,0.679,0.1717,1
01121,Corlier,Rural à habitat dispersé,2,Tourisme rural,0.0438,0.0084,0.6035,0.3444,1
01123,Cormoranche-sur-Saône,Rural à habitat dispersé,2,Tourisme rural,0.0314,0.0306,0.5979,0.3401,0
01124,Cormoz,Rural à habitat dispersé,2,Tourisme rural,0.0195,0.0164,0.5805,0.3837,1
01125,Corveissiat,Rural à habitat dispersé,2,Tourisme rural,0.0422,0.0088,0.8,0.149,1
01127,Courmangoux,Rural à habitat dispersé,2,Tourisme rural,0.0189,0.0063,0.7625,0.2123,1
01128,Courtes,Rural à habitat dispersé,2,Tourisme rural,0.0232,0.0169,0.6014,0.3585,1
01129,Crans,Rural à habitat très dispersé,2,Tourisme rural,0.0187,0.0126,0.716,0.2527,1
01130,Bresse Vallons,Rural à habitat dispersé,2,Tourisme rural,0.033,0.0217,0.5441,0.4013,1
01133,Cressin-Rochefort,Rural à habitat dispersé,2,Tourisme rural,0.0123,0.0149,0.9174,0.0554,1
01134,Crottet,Bourgs ruraux,2,Tourisme rural,0.0437,0.0239,0.576,0.3564,1
