Identifiant_Site,Nom_Site,cluster
200000082,Bouin éoliennes,2
200000083,Brétignolles Sur Mer,2
200000084,La Guérinière,2
200000085,La Tranche Sur Mer,3
200000086,Les Sables d'Olonne,2
200000087,Saint Hilaire De Riez,2
200000088,Saint Jean De Monts,2
200000089,Sainte Radegonde Des Noyers,2
200000091,Les Brouzils,3
200000092,Les Epesses,1
200000094,Mervent,3
200000095,Réaumur,3
200000099,Saint Germain De Prinçay,3
200000100,Maillezais,2
200000101,Triaize,3
200000102,Bois de Cené,3
200000103,Coëx,3
200000104,Froidfond,3
200000105,Aizenay,3
200000106,La Roche Sur Yon,3
200000114,GUER,3
200000157,St_Leger,2
200000162,Le Pellerin - Nantes,2
200000164,Malakoff_vers_Gare_Sud,1
200000165,Tortière_nord,1
200000166,Tortière_sud,1
200000167,La Daguenière,3
200000168,Saint Hilaire Saint Florent,2
200000169,St Florent le Vieil,3
200000170,Saint-Rémy-la-Varenne,2
200000171,St Martin du Lac,2
200000173,eurovelo,2
200000175,Bourbon Lancy,2
200000176,V6 Caurel-2012,2
200000177,V6 Plemet-2011,3
200000178,V6 Rostrenen-2011,3
200000180,V3-2 Tremereuc-2013,2
200000181,V 4 Plérin-2013,3
200000182,V3 Canal Taden-2013,2
200000186,Oudon Mont Piron,3
200000187,Saint-Brevin,2
200000188,Blain,3
200000194,Briare,2
200000195,Candes,2
200000196,Couargue,2
200000198,Mareau,3
200000199,Mont Louis,2
200000200,Muides,2
200000201,Saint Satur,2
200000202,Savonniéres,2
200000203,Tours,2
200000204,Gourin,2
200000223,Champigny lès Langres,2
200000225,Saint Dizier,2
200000226,Vouécourt,2
200000227,Auvers Sur Oise,0
200000231,St-Michel-Chef-Chef,2
200000238,La Chapelle sur Erdre,0
200000241,Brunstatt,0
200000242,Huningue,0
200000243,Horbourg_Wihr,2
200000245,Kembs,2
200000248,22. Calorguen (CRT) V2-V3,2
200000249,22. Glomel (CRT) EV1,2
200000250,22. Plouasne (CRT) V3,3
200000251,22. Merleac(CRT) V8,3
200000252,22. Tremorel (CRT) V6,3
200000253,29. Chateauneuf du faou (CRT),2
200000255,29. plourin les morlaix (CRT),2
200000256,35. St_Germain_sur_Ille (CRT),2
200000257,35. Tinténiac (CRT),2
