annee,cluster,cluster_nom,n_communes_actives,l_obs,l_total,taux_fréquentation,bkt_obs,bkt_ext
2019,0,Péri-urbain loisirs,41,2042.325150543279,17812.156942712107,61382.27184203054,356606896.67538506,1324594998.6453876
2019,1,Domicile travail,50,5410.688859744844,19333.802640482245,104863.10903042593,1687764529.0073776,3147785527.4398694
2019,2,Tourisme aménagé,200,3427.2227662172218,28943.33810836167,33812.620525722225,265086060.30919063,1127852785.6636796
2019,3,Tourisme rural,114,1692.096802855286,20577.728379713357,24701.784684942977,76488833.69081435,542997638.5415225
2020,0,Péri-urbain loisirs,60,2799.3243615491265,19576.88699971125,70619.61322612561,390245917.6841628,1575070902.0682676
2020,1,Domicile travail,67,8185.232448275733,21949.721105526474,105865.12447728796,2639589309.7149158,4096768614.780984
2020,2,Tourisme aménagé,229,4053.0243884266947,31782.679457704315,31920.432191076092,244944695.75521755,1130087270.0760233
2020,3,Tourisme rural,137,2362.885903126754,23149.010344383314,27049.308410951362,111071654.76961467,673321945.4495775
2021,0,Péri-urbain loisirs,80,3665.461559952342,20810.99064805082,81590.40899250556,606275621.9041921,2005186352.595048
2021,1,Domicile travail,86,9102.4550070679,22738.616538351554,119989.456460219,3648109063.5039167,5284304673.84639
2021,2,Tourisme aménagé,322,5638.939726108768,35145.03853395945,37994.46051220315,454010654.7934003,1575078960.8174474
2021,3,Tourisme rural,209,4092.722860455611,25610.40422358751,28662.441748060144,235914573.1056779,852663861.7297654
2022,0,Péri-urbain loisirs,89,4219.760954831337,22248.04159073517,87979.98667446649,714993209.8025073,2301121099.912869
2022,1,Domicile travail,98,10070.800244488482,23668.908149148283,147564.76120409643,3814534478.3079696,5821136024.086629
2022,2,Tourisme aménagé,353,6787.347811644544,37864.34633621997,41600.115593954615,602318878.4550883,1895125609.390583
2022,3,Tourisme rural,248,4837.7772152161,27616.605204655054,28227.110323830686,268760540.6915098,911741031.3969655
2023,0,Péri-urbain loisirs,101,4390.935739821534,23240.34510667736,82507.11710951904,766034966.7291434,2321245392.805582
2023,1,Domicile travail,122,12449.094334463238,25377.547987080558,125197.0857087248,4264905952.5583177,5883510672.586325
2023,2,Tourisme aménagé,387,7544.821119900326,40900.3123270495,41708.18066201904,666639369.3460112,2057836222.6841764
2023,3,Tourisme rural,283,5302.599819147919,29646.086223339706,25321.187832453492,273995984.0680511,890401975.8053691
2024,0,Péri-urbain loisirs,110,4731.024723491174,24155.53891852646,79298.24969074804,838624071.0439765,2378954047.8033648
2024,1,Domicile travail,133,13130.273518260634,26647.517933434843,113801.62546754122,4456046757.695245,5994331143.984114
2024,2,Tourisme aménagé,396,8292.81404267975,43943.691579029466,37349.00847936039,713285324.4524099,2044810251.8541741
2024,3,Tourisme rural,306,5988.143475053777,31895.544451306356,23220.2012772213,294702969.2104874,896278034.4487519
2025,0,Péri-urbain loisirs,95,4484.143488564741,25477.33190656062,81190.62156415859,874136299.6555034,2578586315.926084
2025,1,Domicile travail,124,13459.473749529416,27949.517810947393,131547.58032424105,4702460096.978171,6608590332.049345
2025,2,Tourisme aménagé,342,7663.698420276235,47198.55118951705,38506.67279461143,707021487.5469576,2229377127.1152515
2025,3,Tourisme rural,268,5492.991102381534,33968.7315670597,26020.621387212424,287534386.5363461,1028490847.8882611
