id_site,cluster
200000071,1
200000082,2
200000083,2
200000084,2
200000085,0
200000086,2
200000087,2
200000088,0
200000089,1
200000091,2
200000092,2
200000094,2
200000095,0
200000098,1
200000099,2
200000100,0
200000101,0
200000102,2
200000103,0
200000104,2
200000105,2
200000106,2
200000114,2
200000157,0
200000161,1
200000162,2
200000164,3
200000165,2
200000166,2
200000167,1
200000168,0
200000169,2
200000170,2
200000171,2
200000173,0
200000175,0
200000176,0
200000177,0
200000178,2
200000180,0
200000181,0
200000182,0
200000186,0
200000187,0
200000188,0
200000194,0
200000195,1
200000196,2
200000198,0
200000199,0
200000200,0
200000201,2
200000202,0
200000203,0
200000204,0
200000223,0
200000224,1
200000225,2
200000226,0
200000227,2
200000231,2
200000238,2
200000241,2
200000242,2
200000243,1
200000245,0
200000248,0
200000249,0
200000250,2
200000251,2
200000252,0
200000253,0
200000255,0
200000256,0
200000257,0
200000258,0
200000261,0
200000262,2
200000263,0
200000264,2
200000268,1
200000270,1
200000271,1
200000272,2
200000275,2
200000276,0
200000277,0
200000278,0
200000279,2
200000280,0
200000282,2
200000283,0
200000284,0
200000286,2
200000288,0
200000292,2
200000293,2
200000294,0
200000295,0
200000296,0
200000297,2
200000298,2
200000299,1
200000303,1
200000305,1
200000307,1
200000308,0
200000309,2
200000310,2
200000311,0
200000312,2
200000313,0
200000314,2
200000315,2
200000317,0
200000318,1
200000319,1
200000320,0
200000321,0
200000322,0
200000323,2
200000324,1
200000325,1
200000326,1
200000351,0
200000353,2
200000356,2
200000357,1
200000358,0
200000359,0
200000360,1
200000361,2
200000375,2
200000376,0
200000377,1
200000378,0
200000380,0
200000382,0
200000384,0
200000386,2
200000389,2
200000390,2
200000391,2
200000394,2
200000396,0
200000397,2
200000398,0
200000399,2
200000400,0
200000401,0
200000408,0
200000412,2
200000413,2
200000414,2
200000415,1
200000417,1
200000419,1
200000420,2
200000421,2
200000422,2
200000424,2
200000425,2
200000427,2
200000432,2
200000433,3
200000442,2
200000445,0
200000446,1
200000447,2
200000451,1
200000452,1
200000456,2
200000457,2
200000460,2
200000461,1
200000462,2
200000463,2
200000464,2
200000465,0
200000466,0
200000467,0
200000471,0
200000472,2
200000476,1
200000480,1
200000490,0
200000491,2
200000492,0
200000493,1
200000505,0
200000508,2
200000509,1
200000510,2
200000515,2
200000516,0
200000518,1
200000519,0
200000520,0
200000521,2
200000523,2
200000525,0
200000526,0
200000527,2
200000531,2
200000532,2
200000533,1
200000534,2
200000535,3
200000536,2
200000538,2
200000598,2
200000605,1
200000606,1
200000607,2
200000608,1
200000609,1
200000611,2
200000612,0
200000613,2
200000614,0
200000615,2
200000616,2
200000617,2
200000618,2
200000619,1
200000620,1
200000621,1
200000622,2
200000623,2
200000624,1
200000625,2
200000626,3
200000627,1
200000628,2
200000629,1
200000630,3
200000631,1
200000632,1
200000633,3
200000634,2
200000635,3
200000636,1
200000637,2
200000638,2
200000639,2
200000640,3
200000641,1
200000642,1
200000643,2
200000644,1
200000645,1
200000646,2
200000647,3
200000648,2
200000649,1
200000650,2
200000651,2
200000653,0
