osm_id,highway,cyclable_status,name,bicycle,cycleway,access,oneway,surface,lit,maxspeed
19045116,residential,likely,Rue des Acacias,,,,,,,30
19055914,unclassified,likely,Rue du Canal,,,,yes,asphalt,,30
19055915,unclassified,likely,Rue du Canal,,,,,asphalt,yes,30
19077516,unclassified,likely,Rue Lakanal,,opposite,,yes,asphalt,,30
19087417,unclassified,likely,Rue Georges Chevallier,,opposite,,yes,asphalt,,30
19087419,tertiary,likely,Place Guy Moquet,,,,yes,,,
21277191,path,legal,,designated,,,,asphalt,yes,
22663976,unclassified,likely,Rue Frédéric Fays,,,,yes,asphalt,yes,30
23892137,unclassified,likely,Rue de Venise,,,,yes,asphalt,yes,30
23892138,residential,likely,Rue de la Sérénité,,,,yes,asphalt,yes,30
23977367,tertiary,likely,Rue Émile Zola,,,,yes,asphalt,yes,30
23977370,tertiary,likely,Avenue Georges Dimitrov,,,,yes,asphalt,,50
23977479,unclassified,likely,Avenue Lefèvre,,,,,asphalt,yes,
25736273,tertiary,likely,Rue Anatole France,,,,yes,asphalt,yes,30
25966732,residential,likely,Rue Pierre Baratin,,,,yes,asphalt,yes,30
29205082,unclassified,likely,Avenue du Commandant l'Herminier,,,,,asphalt,yes,30
33581450,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
34245837,cycleway,legal,Porte de Croix-Luizet,,,,,asphalt,,
34245974,cycleway,legal,Porte de Croix-Luizet,,,,,asphalt,yes,
34245976,cycleway,legal,Porte de Croix-Luizet,,,,,concrete,,
37406901,path,legal,,designated,,,,fine_gravel,,
38771467,residential,likely,Rue Pierre Cacard,,,,,asphalt,yes,30
38771468,residential,likely,Rue des Boucherets,,,,yes,asphalt,,30
38771470,unclassified,likely,Impasse des Iris,,,,,asphalt,,30
47294870,cycleway,legal,Chemin de Contre-Halage,,,,,fine_gravel,,
47294871,primary,likely,,,,,yes,asphalt,yes,30
47297618,path,legal,,designated,,,,asphalt,no,
47297621,path,legal,Chemin de Halage,designated,,,,compacted,no,
47297622,primary,likely,Rue du 4 Août 1789,,,,yes,asphalt,yes,50
47297628,unclassified,likely,Rue du Canal,,lane,,no,asphalt,yes,30
47297632,unclassified,likely,,,,,,asphalt,yes,30
